RocksDB:    version 11.3.0
Date:       Tue May 26 11:43:25 2026
CPU:        2 * Intel Xeon Processor (SapphireRapids)
CPUCache:   16384 KB
2026/05/26-11:44:08  ... thread 0: (32000,449000) ops and (4513.0,10275.3) ops/second in (7.090674,43.697108) seconds
2026/05/26-11:44:09  ... thread 1: (3000,449000) ops and (2577.1,10107.6) ops/second in (1.164080,44.422028) seconds
2026/05/26-11:44:09  ... thread 2: (3000,451000) ops and (2280.7,10135.7) ops/second in (1.315379,44.496369) seconds
2026/05/26-11:44:10  ... thread 3: (3000,457000) ops and (1694.2,10202.3) ops/second in (1.770736,44.793739) seconds
2026/05/26-11:44:10  ... thread 0: (2000,451000) ops and (1818.0,10067.6) ops/second in (1.100136,44.797244) seconds
2026/05/26-11:44:10  ... thread 1: (25000,474000) ops and (24931.0,10434.8) ops/second in (1.002768,45.424796) seconds
2026/05/26-11:44:10  ... thread 2: (29000,480000) ops and (28589.1,10547.0) ops/second in (1.014373,45.510742) seconds
2026/05/26-11:44:11  ... thread 3: (43000,500000) ops and (42381.6,10915.0) ops/second in (1.014591,45.808330) seconds
2026/05/26-11:44:11  ... thread 0: (39000,490000) ops and (37472.0,10689.8) ops/second in (1.040776,45.838020) seconds
2026/05/26-11:44:16  ... thread 2: (31000,511000) ops and (5043.5,9892.1) ops/second in (6.146579,51.657321) seconds
2026/05/26-11:44:16  ... thread 3: (25000,525000) ops and (4243.1,10154.7) ops/second in (5.891867,51.700197) seconds
2026/05/26-11:44:16  ... thread 0: (16000,506000) ops and (2717.9,9782.5) ops/second in (5.886951,51.724971) seconds
2026/05/26-11:44:17  ... thread 1: (30000,504000) ops and (4322.2,9624.6) ops/second in (6.940892,52.365688) seconds
2026/05/26-11:44:18  ... thread 2: (4000,515000) ops and (3400.2,9747.6) ops/second in (1.176414,52.833735) seconds
2026/05/26-11:44:18  ... thread 3: (3000,528000) ops and (2423.5,9973.9) ops/second in (1.237896,52.938093) seconds
2026/05/26-11:44:18  ... thread 0: (1000,507000) ops and (681.7,9531.5) ops/second in (1.466833,53.191804) seconds
2026/05/26-11:44:18  ... thread 1: (3000,507000) ops and (2904.8,9494.7) ops/second in (1.032779,53.398467) seconds
2026/05/26-11:44:19  ... thread 2: (17000,532000) ops and (16965.7,9881.9) ops/second in (1.002022,53.835757) seconds
2026/05/26-11:44:19  ... thread 3: (26000,554000) ops and (25730.4,10269.0) ops/second in (1.010479,53.948572) seconds
2026/05/26-11:44:19  ... thread 0: (27000,534000) ops and (26242.6,9848.6) ops/second in (1.028861,54.220665) seconds
2026/05/26-11:44:19  ... thread 1: (32000,539000) ops and (31536.4,9905.7) ops/second in (1.014702,54.413169) seconds
2026/05/26-11:44:20  ... thread 2: (35000,567000) ops and (34479.7,10337.1) ops/second in (1.015091,54.850848) seconds
2026/05/26-11:44:20  ... thread 3: (31000,585000) ops and (30715.8,10644.5) ops/second in (1.009254,54.957826) seconds
2026/05/26-11:44:24  ... thread 1: (26000,565000) ops and (4920.8,9464.5) ops/second in (5.283726,59.696895) seconds
2026/05/26-11:44:25  ... thread 2: (12000,579000) ops and (2360.8,9660.6) ops/second in (5.083129,59.933977) seconds
2026/05/26-11:44:25  ... thread 3: (5000,590000) ops and (971.0,9815.8) ops/second in (5.149510,60.107336) seconds
2026/05/26-11:44:25  ... thread 0: (26000,560000) ops and (4338.8,9300.3) ops/second in (5.992408,60.213073) seconds
2026/05/26-11:44:26  ... thread 1: (2000,567000) ops and (1676.0,9311.8) ops/second in (1.193295,60.890190) seconds
2026/05/26-11:44:26  ... thread 2: (3000,582000) ops and (2451.9,9516.4) ops/second in (1.223528,61.157505) seconds
2026/05/26-11:44:26  ... thread 3: (2000,592000) ops and (1437.5,9626.2) ops/second in (1.391308,61.498644) seconds
2026/05/26-11:44:26  ... thread 0: (3000,563000) ops and (2329.4,9154.3) ops/second in (1.287883,61.500956) seconds
2026/05/26-11:44:27  ... thread 1: (21000,588000) ops and (20921.0,9500.1) ops/second in (1.003774,61.893964) seconds
2026/05/26-11:44:27  ... thread 2: (22000,604000) ops and (21927.8,9716.7) ops/second in (1.003291,62.160796) seconds
2026/05/26-11:44:27  ... thread 0: (36000,599000) ops and (35430.8,9581.4) ops/second in (1.016065,62.517021) seconds
2026/05/26-11:44:27  ... thread 3: (34000,626000) ops and (33075.1,10011.7) ops/second in (1.027965,62.526609) seconds
2026/05/26-11:44:28  ... thread 1: (39000,627000) ops and (37868.1,9964.4) ops/second in (1.029891,62.923855) seconds
2026/05/26-11:44:33  ... thread 3: (27000,653000) ops and (4372.9,9505.0) ops/second in (6.174333,68.700942) seconds
2026/05/26-11:44:34  ... thread 2: (33000,637000) ops and (5017.4,9267.1) ops/second in (6.577138,68.737934) seconds
2026/05/26-11:44:34  ... thread 0: (18000,617000) ops and (2864.2,8967.8) ops/second in (6.284411,68.801432) seconds
2026/05/26-11:44:34  ... thread 1: (9000,636000) ops and (1405.4,9173.8) ops/second in (6.403690,69.327545) seconds
2026/05/26-11:44:35  ... thread 0: (3000,620000) ops and (2923.5,8879.0) ops/second in (1.026150,69.827582) seconds
2026/05/26-11:44:35  ... thread 3: (2000,655000) ops and (1742.8,9377.4) ops/second in (1.147562,69.848504) seconds
2026/05/26-11:44:35  ... thread 2: (2000,639000) ops and (1518.9,9121.4) ops/second in (1.316750,70.054684) seconds
2026/05/26-11:44:35  ... thread 1: (2000,638000) ops and (1443.4,9022.4) ops/second in (1.385637,70.713182) seconds
2026/05/26-11:44:36  ... thread 0: (2000,622000) ops and (1957.2,8779.2) ops/second in (1.021884,70.849466) seconds
2026/05/26-11:44:36  ... thread 3: (4000,659000) ops and (3694.8,9290.7) ops/second in (1.082605,70.931109) seconds
2026/05/26-11:44:36  ... thread 2: (1000,640000) ops and (637.7,8935.7) ops/second in (1.568099,71.622783) seconds
2026/05/26-11:44:36  ... thread 1: (4000,642000) ops and (3946.6,8950.6) ops/second in (1.013534,71.726716) seconds
2026/05/26-11:44:37  ... thread 0: (8000,630000) ops and (7829.7,8765.7) ops/second in (1.021745,71.871211) seconds
2026/05/26-11:44:37  ... thread 3: (15000,674000) ops and (14888.3,9369.1) ops/second in (1.007500,71.938609) seconds
2026/05/26-11:44:37  ... thread 2: (34000,674000) ops and (33688.5,9279.7) ops/second in (1.009246,72.632029) seconds
2026/05/26-11:44:37  ... thread 1: (37000,679000) ops and (36905.4,9336.0) ops/second in (1.002563,72.729279) seconds
2026/05/26-11:44:38  ... thread 3: (30000,704000) ops and (29272.1,9648.7) ops/second in (1.024868,72.963477) seconds
2026/05/26-11:44:38  ... thread 0: (30000,660000) ops and (26840.4,9042.5) ops/second in (1.117720,72.988931) seconds
2026/05/26-11:44:43  ... thread 1: (21000,700000) ops and (3743.4,8935.5) ops/second in (5.609846,78.339125) seconds
2026/05/26-11:44:43  ... thread 2: (25000,699000) ops and (4321.3,8913.8) ops/second in (5.785363,78.417392) seconds
2026/05/26-11:44:43  ... thread 3: (16000,720000) ops and (2891.6,9172.4) ops/second in (5.533245,78.496722) seconds
2026/05/26-11:44:43  ... thread 0: (13000,673000) ops and (2340.0,8568.4) ops/second in (5.555605,78.544536) seconds
2026/05/26-11:44:44  ... thread 2: (3000,702000) ops and (2885.3,8835.0) ops/second in (1.039758,79.457150) seconds
2026/05/26-11:44:44  ... thread 1: (2000,702000) ops and (1707.4,8829.0) ops/second in (1.171368,79.510493) seconds
2026/05/26-11:44:44  ... thread 0: (2000,675000) ops and (1842.9,8476.7) ops/second in (1.085221,79.629757) seconds
2026/05/26-11:44:45  ... thread 3: (2000,722000) ops and (1274.2,9017.5) ops/second in (1.569606,80.066328) seconds
2026/05/26-11:44:45  ... thread 2: (13000,715000) ops and (12941.3,8886.2) ops/second in (1.004538,80.461688) seconds
2026/05/26-11:44:45  ... thread 1: (16000,718000) ops and (15711.1,8916.1) ops/second in (1.018389,80.528882) seconds
2026/05/26-11:44:45  ... thread 0: (20000,695000) ops and (19936.4,8619.3) ops/second in (1.003189,80.632946) seconds
2026/05/26-11:44:46  ... thread 3: (30000,752000) ops and (29757.3,9275.4) ops/second in (1.008157,81.074485) seconds
2026/05/26-11:44:46  ... thread 2: (32000,747000) ops and (30343.7,9163.8) ops/second in (1.054585,81.516273) seconds
2026/05/26-11:44:46  ... thread 1: (31000,749000) ops and (30797.9,9186.2) ops/second in (1.006561,81.535443) seconds
2026/05/26-11:44:46  ... thread 0: (30000,725000) ops and (29597.1,8879.7) ops/second in (1.013614,81.646560) seconds
2026/05/26-11:44:52  ... thread 0: (9000,734000) ops and (1534.7,8387.5) ops/second in (5.864283,87.510843) seconds
2026/05/26-11:44:52  ... thread 3: (29000,781000) ops and (4469.9,8919.4) ops/second in (6.487776,87.562261) seconds
2026/05/26-11:44:53  ... thread 2: (15000,762000) ops and (2409.7,8684.6) ops/second in (6.224899,87.741172) seconds
2026/05/26-11:44:53  ... thread 1: (15000,764000) ops and (2154.7,8633.1) ops/second in (6.961643,88.497086) seconds
2026/05/26-11:44:54  ... thread 0: (2000,736000) ops and (1375.1,8272.9) ops/second in (1.454427,88.965270) seconds
2026/05/26-11:44:54  ... thread 2: (2000,764000) ops and (1465.1,8574.0) ops/second in (1.365134,89.106306) seconds
2026/05/26-11:44:54  ... thread 3: (5000,786000) ops and (3043.2,8811.1) ops/second in (1.643031,89.205292) seconds
2026/05/26-11:44:55  ... thread 1: (5000,769000) ops and (3377.3,8546.6) ops/second in (1.480476,89.977562) seconds
2026/05/26-11:44:55  ... thread 0: (1000,737000) ops and (985.1,8190.7) ops/second in (1.015127,89.980397) seconds
2026/05/26-11:44:55  ... thread 2: (8000,772000) ops and (7952.3,8567.1) ops/second in (1.006002,90.112308) seconds
2026/05/26-11:44:55  ... thread 3: (11000,797000) ops and (10957.7,8835.0) ops/second in (1.003862,90.209154) seconds
2026/05/26-11:44:56  ... thread 1: (37000,806000) ops and (36893.8,8859.0) ops/second in (1.002878,90.980440) seconds
2026/05/26-11:44:56  ... thread 0: (36000,773000) ops and (35277.0,8494.4) ops/second in (1.020494,91.000891) seconds
2026/05/26-11:44:56  ... thread 2: (33000,805000) ops and (32869.8,8834.9) ops/second in (1.003961,91.116269) seconds
2026/05/26-11:44:56  ... thread 3: (35000,832000) ops and (32561.9,9114.4) ops/second in (1.074875,91.284029) seconds
2026/05/26-11:45:03  ... thread 2: (15000,820000) ops and (2192.0,8370.8) ops/second in (6.843178,97.959447) seconds
2026/05/26-11:45:03  ... thread 0: (22000,795000) ops and (3140.4,8111.7) ops/second in (7.005398,98.006289) seconds
2026/05/26-11:45:03  ... thread 1: (22000,828000) ops and (3061.1,8434.6) ops/second in (7.187031,98.167471) seconds
